,marketSegment,name,slug,ticker,totalSupply
509,DeFi,FLUX,flux,FLUX,954328.98346261
510,Blockchain Service,Experty,experty,EXY,79404563.976511
511,Infrastructure,CPChain,cpchain,CPC,999999999.171729
512,Cryptocurrency,Gulden,gulden,NLG,556517473
513,Data,MyToken,mytoken,MT,4000000000
514,Privacy,Monero Classic,monero-classic,XMC,19176436.19105911
515,Blockchain Service,BrahmaOS,brahmaos,BRM,3000000000
516,Blockchain Service,Morpheus Labs,morpheus-labs,MITX,713999995
517,Social,Narrative Network,narrative,NRV,82428004
518,Social,U Network,u-network,UUU,10000000000
519,Decentralized Exchange,ParaSwap,paraswap,PSP,2000000000
520,Financial,Polybius,polybius,PLBT,3969564.998325
521,Gambling,Sp8de,sp8de,SPX,8888888888
522,Lending,SALT,salt,SALT,120000000
523,Gambling,HEROcoin,herocoin,PLAY,252165028.70539504
524,Blockchain Service,GoWithMi,gowithmi,GMAT,14900000000
525,Binance,YooShi,yooshi,YOOSHI,1000000000000000
526,Decentralized Exchange,DerivaDAO,derivadao,DDX,50297306
527,Other,Po.et,poet,POE,3141592653
528,Data,CyberVein,cybervein,CVT,2147483648
529,Lending,Lendingblock,lendingblock,LND,1000000000
530,Mining,Speed Mining Service,speed-mining-service,SMS,300000
531,Platform,TosDis,tosdis,DIS,100000
532,Platform,Stratis,stratis,STRAX,131499477.4069986
533,Financial,Particl,particl,PART,11751238.04984224
534,Decentralized Exchange,Nash Exchange,nash-exchange,NEX,50000000
535,Platform,Starbase,starbase,STAR,1000000000
536,Exchange,The Midas Touch Gold,the-midas-touch-gold,TMTG,9161139666.073038
537,Supply,OriginTrail,origintrail,TRAC,500000000
538,DeFi,Opium,opium,OPIUM,0
539,Blockchain Service,Expanse,expanse,EXP,22845437
540,Blockchain Service,Sentinel,sentinel,DVPN,13511414869
541,Decentralized Exchange,Blockport,blockport,BPT,69434799.6292112
542,Gambling,DAO.Casino,dao-casino,BET,167270820.687909
543,Other,eosDAC,eosdac,EOSDAC,1200000000
544,Ethereum,No BS Crypto,no-bs-crypto,NOBS,2083803239.8837934
545,DeFi,Polkastarter,polkastarter,POLS,100000000
546,Real Estate,Rentberry,rentberry,BERRY,301473027.68713224
547,,Venus BTC,venus-btc,vBTC,205836
548,Gaming,Asura Coin,asura-coin,ASA,1000000000
549,Blockchain Network,HYCON ,hycon,HYC,5000000000
550,Cryptocurrency,Steem,steem,STEEM,409190981
551,Ethereum,Sharpe Platform Token,sharpe-platform-token,SHP,32000000
552,Marketplace,LBRY Credits,library-credit,LBC,705211760
553,Financial,ALBOS,albos,ALB,28710000000
554,Social,Waletoken,waletoken,WTN,19918713666.786705
555,Mining,Eden,archer-dao-governance-token,EDEN,100000000
556,Decentralized Exchange,Biswap,biswap,BSW,164221800.42901316
557,Financial,BABB,babb,BAX,50000000000
558,Healthcare,BioPassport Token,biopassport-token,BIOT,8800000000
559,Platform,XMax,xmax,XMX,30000000000
560,Exchange,Binance Coin,binance-coin,BNB,166801148
561,Financial,WeTrust,trust,TRST,100000000
562,Trading,Vivid Coin,vivid-coin,VIVID,7910746.172528
563,Insurance,Bridge Mutual,bridge-mutual,BMI,160000000
564,Gaming,Refereum,refereum,RFR,4999650000
565,Entertainment,TRON,tron,TRX,101900144771.21684
566,,VVS Finance,vvs-finance,VVS,35580072054449
567,,Aurory,aurory,AURY,100000000
568,Financial,Genesis Vision,genesis-vision,GVT,4436643.92853333
569,Verification,THEKEY,thekey,TKY,9795844687
570,Other,Sakura Bloom,sakura-bloom,SKB,6000000000
571,Cryptocurrency,Nano,nano,XNO,133248297.197
572,,IQ.cash,iqcash,IQ,19821218.95644556
573,Ethereum,ConstitutionDAO,constitutiondao,PEOPLE,0
574,Cryptocurrency,Groestlcoin,groestlcoin,GRS,78951898.88736624
575,Cryptocurrency,Lightning Bitcoin,lightning-bitcoin,LBTC,7465926
576,Entertainment,More Coin,more-coin,MORE,30000000
577,Cryptocurrency,Kalkulus,kalkulus,KLKS,19947040.12418642
578,Binance,Radio Caca,radio-caca,RACA,443478491084
579,Trading,QASH,qash,QASH,1000000000
580,Marketing,indaHash,indahash,IDH,399999999.991697
581,Blockchain Service,Proxeus,proxeus,XES,300000000
582,Smart Contracts,Stellar,stellar,XLM,50001802499.57205
583,Data,UnMarshal,unmarshal,MARSH,100000000
584,Gaming,Doge Dash,doge-dash,DOGEDASH,90286721009.31483
585,Platform,Furucombo,furucombo,COMBO,100000000
586,Data,Bottos,bottos,BTO,0
587,Privacy,Bytecoin,bytecoin-bcn,BCN,184066828814.058
588,Financial,Trust Wallet Token,trust-wallet-token,TWT,1000000000
589,Neo,Trinity Network Credit,trinity-network-credit,TNC,1000000000
590,Other,Globalvillage Ecosystem,globalvillage-ecosystem,GVE,1000000000
591,Ethereum,Name Changing Token,name-changing-token,NCT,39442342.51678241
592,Cloud Storage,Bitcoin File,bitcoin-file,BIFI,21050000000
593,Interoperability,IRISnet,irisnet,IRIS,2050869358.833344
594,Cryptocurrency,T.OS,t-os,TOSC,2088368121.484905
595,Virtual Reality,Spectiv,signal-token,SIG,378851756.13266844
596,Smart Contracts,YUI Token,yui-token,YUI,27823
597,Decentralized Exchange,Futureswap,futureswap,FST,3481138.86850952
598,Marketplace,Sentinel Chain,sentinel-chain,SENC,500000000
599,Travel,MAPS,maps,MAPS,10000000000
600,Marketplace,LockTrip,lockchain,LOC,18579040.57192072
601,Financial,HorusPay,horuspay,HORUS,1200000000
602,Cryptocurrency,Electroneum,electroneum,ETN,17908082466.89
603,Data,Biotron,biotron,BTRN,411092461
604,Financial,Nxt,nxt,NXT,998999941.50769
605,Tokenization,Convergence,convergence,CONV,10000000000
606,Financial,Stronghold Token,stronghold-token,SHX,100000000000
607,Energy,Electrify.Asia,electrifyasia,ELEC,749999945.2724185
608,Interoperability,Nerves,nerves,NER,5000000000
609,Decentralized Exchange,Lykke,lykke,LKK,1285690000
610,Ethereum,BOMB,bomb,BOMB,896539
611,Gaming,DMarket,dmarket,DMT,56921773.1719715
612,Cryptocurrency,Viacoin,viacoin,VIA,23174754.6077522
613,Financial,ION,ion,ION,19676475.60565705
614,Trading,Wootrade,wootrade,WOO,2991373744.711403
615,Tokenization,Atlantis Blue Digital Token,atlantis-blue-digital-token,ABDT,399998765
616,AI,Nebula AI,nebula-ai,NBAI,4966351487
617,Blockchain Service,Decentralized Machine Learning,decentralized-machine-learning,DML,272937006.72553134
618,Financial,Distributed Credit Chain,distributed-credit-chain,DCC,3423933690.00001
619,Financial,PayPie,paypie,PPP,165000000
620,Infrastructure,Ardor,ardor,ARDR,998999495
621,Financial,SwissBorg,swissborg,CHSB,1000000000
622,Cryptocurrency,Jesus Coin,jesus-coin,JC,20325184344.1018
623,Blockchain Network,Ternio,ternio,TERN,899921008
624,Exchange,UNUS SED LEO,unus-sed-leo,LEO,985239504
625,Sports,SportyCo,sportyco,SPF,70673453.9859041
626,Tokenization,Centrifuge,centrifuge,CFG,430011123
627,E-Commerce,Pundi X NEM,pundi-x-nem,NPXSXEM,44748244753.68
628,Education,Educoin,edu-coin,EDU,15000000000
629,Cryptocurrency,DNotes,dnotes,NOTE,155043262.252
630,Social,Influence Chain,influence-chain,IFC,1000000000
631,Blockchain Service,Arcblock,arcblock,ABT,186000000
632,Ardor,Ignis,ignis,IGNIS,999449694
633,Data,Aeron,aeron,ARN,20000000
634,Gaming,DMScript,dmscript,DMST,100000000
635,Gambling,BetterBetting,betterbetting,BETR,300585863.0178498
636,Cryptocurrency,The ChampCoin,the-champcoin,TCC,198824132
637,Decentralized Exchange,QuickSwap,quickswap,QUICK,1000000
638,Data,Dent,dent,DENT,100000000000
639,Cloud Computing,ARPA Chain,arpa-chain,ARPA,1500000000
640,IoT,IONChain,ionchain,IONC,520000000
641,Decentralized Exchange,OAX,oax,OAX,100000000
642,Blockchain Network,Oasis Network,oasis-network,ROSE,10000000000
643,Lending,Maker,maker,MKR,988984.78969926
644,,Maro,maro,MARO,956508051.36
645,Trading,Rublix,rublix,RBLX,100000000
646,,Compound Uniswap,compound-uniswap,cUNI,0
647,Other,DAEX,daex,DAX,2000000000
648,Cryptocurrency,MktCoin,mktcoin,MLM,2274139409.85096
649,Stablecoin,Gemini Dollar,gemini-dollar,GUSD,200316364.06
650,Cryptocurrency,Valuto,valuto,VLU,62964625
651,Exchange,FTX Token,ftx-token,FTT,335329538.4859715
652,Blockchain Network,TrueChain,truechain,TRUE,100000000
653,Platform,Endorsit,endorsit,EDS,100000000000
654,DeFi,Reef,reef,REEF,16112552172
655,Platform,Penta,penta,PNT,49999999999.9999
656,Interoperability,RAMP,ramp,RAMP,1000000000
657,Data,DaTa EXchange,data-exchange,DTX,225000000
658,,Compound USDT,compound-usdt,cUSDT,4558972537
659,Gaming,Ultra,ultra,UOS,1000000000
660,Cryptocurrency,Dascoin,dascoin,DASC,3294166500.60993
661,Marketplace,Font,font,FONT,2000000
662,Cryptocurrency,Peercoin,peercoin,PPC,27271586.03864035
663,,Aave LINK,aave-link,aLINK,26144473
664,Interoperability,Cellframe,cellframe,CELL,29735000
665,Gambling,CoinPoker,coinpoker,CHP,278237314.35457474
666,Exchange,BlockTrade,blocktrade-token,BTT,57746762
667,Advertising,Bigbom,bigbom,BBO,1993751536.605432
668,Communication Network,BlockMesh,blockmesh,BMH,2000000000
669,Advertising,Kind Ads Token,kind-ads-token,KIND,61000000
670,Stablecoin,bitCNY,bitcny,BITCNY,28245600
671,Prediction Market,Polkamarkets,polkamarkets,POLK,100000000
672,Media,Transcodium,transcodium,TNS,85900000
673,Decentralized Exchange,TitanSwap,titanswap,TITAN,10000000000
674,Cryptocurrency,Ryo Currency,ryo-currency,RYO,32908789.03
675,Decentralized Exchange,JOE,joe,JOE,199010126.2
676,Sports,BoutsPro,boutspro,BOUTS,2000000000
677,Platform,TERA,tera,TERA,1000000000
678,AI,ATN,atn,ATN,0
679,Ethereum,Business Credit Alliance Chain,business-credit-alliance-chain,BCAC,512122609.3851905
680,Marketplace,Storm,storm,STORM,9967745869.45655
681,,Aave ETH,aave-eth,aETH,472179
682,Cryptocurrency,Linda,linda,LINDA,13437714976.6654
683,Financial,Bezant,bezant,BZNT,999999820
684,Lending,Magic Internet Money,magic-internet-money,MIM,1933352207
685,Cryptocurrency,GoldMint,goldmint,MNTP,10000000
686,Transportation,Helbiz,helbiz,HBZ,1005250000
687,Prediction Market,Bodhi [ETH],bodhi-eth,BOE,100000000
688,Social,Kuende,kuende,KUE,3013984637
689,Fund,BuckHathCoin,buck-hath-coin,BHIG,500000000
690,Blockchain Service,Cardstack,cardstack,CARD,6000000000
691,,Aave TUSD,aave-tusd,aTUSD,150533312
692,Financial,Freeway Token,freeway-token,FWT,10000000000
693,Ethereum,DigiFinexToken,digifinextoken,DFT,2100000000
694,Blockchain Network,WaykiChain,waykichain,WICC,210000000
695,Cryptocurrency,FuturoCoin,futurocoin,FTO,100000000
696,Social,Patron,patron,PAT,400000000
697,Healthcare,Docademic,docademic,MTC,850000000.0
698,,Aave DAI,aave-dai,aDAI,27109786
699,,Aave MKR,aave-mkr,aMKR,14773
700,,Aave BAT,aave-bat,aBAT,10619595
701,Financial,FuzeX,fuzex,FXT,1087156610
702,,Aave USDT,aave-usdt,aUSDT,115251917
703,Ethereum,Oraichain Token,oraichain-token,ORAI,19779272
704,Transportation,Parkgene,parkgene,GENE,928840384.33
705,Gambling,Quanta Utility Token,quanta-utility-token,QNTU,120000000000
706,Blockchain Service,Presearch,presearch,PRE,500000000
707,Financial,Bitex Global XBX Coin,bitex-global-xbx-coin,XBX,298021513
708,,Valor Token,valor-token,VALOR,75000000
709,Cryptocurrency,ODUWA,oduwa,OWC,14895857.8285
710,Verification,Civic,civic,CVC,1000000000
711,Protocol,Stafi,stafi,FIS,102245900
712,E-Commerce,Elysian,elysian,ELY,260000000
713,Financial,ALLUVA,alluva,ALV,3000000000
714,Transportation,dKargo,dkargo,DKA,5000000000
715,Investments,BnkToTheFuture,bnktothefuture,BFT,1000000000
716,Blockchain Service,Silent Notary,silent-notary,SNTR,186462812051
717,Real Estate,Cybereits,cybereits,CRE,1000000000
718,Entertainment,POPCHAIN,popchain,PCH,2000000000
719,Stablecoin,EOSDT,eosdt,EOSDT,2642505.293308
720,Blockchain Service,OneLedger,oneledger,OLT,1000000000
721,,Aave SUSD,aave-susd,aSUSD,2148854
722,Smart Contracts,Aurora,aurora,AOA,10000000000
723,Gaming,CryCash,crycash,CRC,7057137.0998682
724,Platform,EDUCare,educare,EKT,724297908.475
725,DeFi,Qredo,qredo,QRDO,1000000000
726,Gaming,FootballCoin,footballcoin,XFC,1000000000
727,Social,Skrumble Network,skrumble-network,SKM,1500000000
728,,Aave MANA,aave-mana,aMANA,60287273
729,DeFi,Kebab Token,kebab-token,KEBAB,0
730,Media,Lunyr,lunyr,LUN,2703356.07853158
731,Entertainment,Pepe Cash,pepe-cash,PEPECASH,701884009
732,Marketing,Promotion Coin,promotion-coin,PC,8750000000
733,Protocol,Raven Protocol,raven-protocol,RAVEN,10000000000
734,Financial,Debitum,debitum-network,DEB,400000000
735,Privacy,Aeon,aeon,AEON,15831459.311211
736,Cryptocurrency,Soarcoin,soarcoin,SOAR,5000000000
737,AI,DeepBrain Chain,deepbrain-chain,DBC,10000000000
738,Ethereum,Crypterium,crpt,CRPT,96657762.00187267
739,,Echoin,echoin,ECH,2000000000
740,Financial,U.CASH,ucash,UCASH,21000000000
741,,Aave KNC,aave-knc,aKNC,4654328
742,Cryptocurrency,Telcoin,telcoin,TEL,100000000000
743,Exchange,VinDax Coin,vindax-coin,VD,125000000
744,Cryptocurrency,OLXA,olxa,OLXA,2600000000
745,AI,VisionX,visionx,VNX,10000000000
746,DeFi,BoringDAO,boringdao,BOR,200000
747,Cryptocurrency,Shekel,shekel,JEW,133109989.976718
748,,Aave ZRX,aave-zrx,aZRX,4714502
749,Binance,Blind Boxes,blind-boxes,BLES,0
750,Decentralized Exchange,Kava Swap,kava-swap,SWP,250000000
751,Platform,Pixie Coin,pixie-coin,PXC,10000000000
752,Insurance,Pal Network,pal-network,PAL,1000000000
753,Cryptocurrency,PitisCoin,pitiscoin,PTS,1000000000
754,Financial,Nexo,nexo,NEXO,1000000000
755,Data,Proton Token,proton-token,PTT,10000000000
756,Trading,ARBITRAGE,arbitrage,ARB,8910934.51117645
757,Financial,Kora Network Token,kora-network-token,KNT,712500000
758,Trading,Kryll.io,kryll,KRL,49417348
759,Cryptocurrency,E-Dinar Coin,e-dinar-coin,EDR,1011211987.679
760,Cryptocurrency,Nasdacoin,nasdacoin,NSD,26594784.98985646
761,Cryptocurrency,CROAT,croat,CROAT,90374266.92505354
762,Social,Matchpool,guppy,GUP,98855149.62
763,Exchange,BQT,bqt,BQTX,800000000
764,Exchange,Huobi Token,huobi-token,HT,500000000
765,DeFi,Amp,amp,AMP,99213408535
766,Financial,Jury.Online Token,jury-online-token,JOT,18601983.9507074
767,Marketing,Friendz,friends,FDZ,1129842156.3806603
768,Data,Cosmo Coin,cosmo-coin,COSM,923000000
769,Smart Contracts,ModulTrade,modultrade,MTRC,78125410.7521347
770,Blockchain Service,Blue Whale EXchange,blue-whale-token,BWX,64320000
771,,Aave BUSD,aave-busd,aBUSD,9850345
772,Financial,Forty Seven Bank (47 Bank),forty-seven-bank,FSBT,3699483.0
773,Gaming,Wrapped NCG (Nine Chronicles Gold),wrapped-ncg,WNCG,287980996.3
774,Other,empowr coin,empowr-coin,EMPR,12000000000000
775,Other,Exosis,exosis,EXO,681268.10087038
776,Cryptocurrency,Bitcoin BEP2,bitcoin-bep2,BTCB,112501
777,Supply,Temco,temco,TEMCO,6000000000
778,Protocol,0xcert Protocol,0xcert,ZXC,343562130.402
779,Data,Prometeus,prometeus,PROM,19250000
780,,Aave REP,aave-rep,aREP,4935
781,,Aave LEND,aave-lend,aLEND,
782,Blockchain Service,DAV Token,dav-coin,DAV,1380276937.5528216
783,Cryptocurrency,Cashberry Coin,cashberry-coin,CBC,90005603.0
784,Social,HitChain,hitchain,HIT,102400000000
785,Financial,Pillar,pillar,PLR,800000000
786,Protocol,PumaPay,pumapay,PMA,78042956829
787,Exchange,LocalCoinSwap,local-coin-swap,LCS,69934886.54156014
788,Cryptocurrency,LEOcoin,leocoin,LC4,21000000
789,Exchange,OKB,okb,OKB,300000000
790,Cryptocurrency,MIR COIN,mir-coin,MIR,1300000000
791,Healthcare,Timicoin,timicoin,TMC,317149560.162186
792,Trading,Mango Markets,mango-markets,MNGO,10000000000
793,Platform,Honest,honest,HNST,400000000
794,Social,Consentium,consentium,CSM,240000000
795,Marketing,BitRewards,bitrewards,BIT,544070955.5837462
796,Cryptocurrency,ATC Coin,atc-coin,ATCC,410000000
797,Gas Token,Theta Fuel,theta-fuel,TFUEL,5301214400
798,Cloud Computing,CUDOS,cudos,CUDOS,10000000000
799,Data,Airbloc,airbloc,ABL,373217500
800,Data,DxChain,dxchain-token,DX,100000000000
801,Real Estate,APIS,apis,APIS,9520000000
802,Advertising,Ubex,ubex,UBEX,3923877491.5183
803,Transportation,LogisCoin,logiscoin,LGS,2351215.43440527
804,Supply,Insolar,insolar,XNS,1000000000
805,Ethereum,Davinci Coin,davinci-coin,DAC,8800000000
806,Cloud Storage,Coldstack,coldstack,CLS,50000000
807,Ethereum,NFTX Hashmasks Index,nftx-hashmasks-index,MASK,209.6325265
808,Other,Olive,olive,OLE,10000000000
809,Exchange,OceanEx,oceanex-token,OCE,8811756112.4
810,Interoperability,Ark,ark,ARK,161278856
811,Social,bitCEO,bitceo,BCEO,2970135500
812,Prediction Market,IGToken,igtoken,IG,6562786056.1979
813,Decentralized Exchange,Falconswap,fsw-token,FSW,100000000
814,Social,AiLink Token,ailink-token,ALI,10000000000
815,DeFi,Index Cooperative,index-cooperative,INDEX,10000000
816,Exchange,Chintai,chex,CHEX,500000000
817,Supply,Wabi,tael,WABI,100000000
818,Energy,KWHCoin,kwhcoin,KWH,2193100000
819,IoT,Six Domain Chain,six-domain-chain,SDA,2000000000
820,Other,CariNet,carinet,CIT,1000000000
821,Healthcare,FarmaTrust,farmatrust,FTT,1000000000
822,Cryptocurrency,Niobio Cash,niobio-cash,NBR,140803742.762465
823,Financial,MGC Token,mgc-token,MGC,600000000
824,Blockchain Service,Knoxstertoken,knoxstertoken,FKX,150000000
825,Supply,Blocery,blocery,BLY,1000000000
826,Blockchain Service,Butterfly Protocol,butterfly-protocol-2,BFLY,0
827,Other,Kin,kin,KIN,10000000000000
828,Gambling,TFL.io,trueflip,TFL,8924667
829,Cryptocurrency,ABBC Coin,abbc-coin,ABBC,1500000000
830,Lending,HOLD,hold,HOLD,923453365
831,Energy,WPP,wpp-token,WPP,5000000000
832,Interoperability,BUMO,bumo,BU,1500000000
833,Social,HeartBout,heartbout,HB,63695267
834,DeFi,Auto,auto,AUTO,53002.53352229
835,Other,Ti-Value,ti-value,TV,210000000
836,Marketplace,district0x,district0x,DNT,1000000000
837,Blockchain Service,Gems ,gems-protocol,GEM,8000000000
838,Blockchain Service,EosBLACK,eosblack,BLACK,3000000000
839,Smart Contracts,Quantstamp,quantstamp,QSP,976442388.321185
840,Exchange,Bitmart,bitmart-token,BMX,640881615.9639114
841,Social,Global Social Chain,global-social-chain,GSC,1000000000
842,Blockchain Service,DWS,dws,DWS,500000000
843,Financial,Formosa Financial,formosa-financial,FMF,2000000000
844,Exchange,HashCoin,hashcoin,HSC,50000000000
845,Entertainment,Contentos,contentos,COS,9957264018.6
846,Financial,V-Dimension,v-dimension,VOLLAR,2100000000
847,Other,Helpico,helpico,HELP,5008576.24641
848,Gaming,Gourmet Galaxy,gourmet-galaxy,GUM,20000000
849,Insurance,Zeusshield,zeusshield,ZSC,5642500000
850,Financial,DPRating,dprating,RATING,9362961677.089724
851,IoT,MyBit,mybit,MYB,179996749.91415927
852,Mining,Ice Rock Mining,ice-rock-mining,ROCK2,15724272
853,Cryptocurrency,BitcoiNote,bitcoinote,BTCN,13178171
854,Marketing,Webcoin,webcoin,WEB,1000000000
855,Real Estate,Relex,relex,RLX,2000000000
856,Exchange,MEX,mex,MEX,1939999970
857,Verification,Remme,remme,REM,1000000000
858,,Aave USDC,aave-usdc,aUSDC,166565229
859,Marketplace,Alphacat,alphacat,ACAT,6250000000
860,Platform,YOU COIN,you-coin,YOU,2856000000
861,,Aave WBTC,aave-wbtc,aWBTC,15853
862,Media,ClearCoin,clearcoin,XCLR,1000000000
863,Financial,Starta,starta,STA,4995565
864,Other,GSENetwork,gsenetwork,GSE,100000000000
865,Financial,MoneyToken,moneytoken,IMT,19155705310.11
866,Platform,Rotharium,rotharium,RTH,5207470.24862486
867,Gaming,ugChain,ugchain,UGC,1000000000
868,Investments,United Traders Token,uttoken,UTT,69403130.9798553
869,Platform,ProximaX,proximax,XPX,9000000000
870,Other,OneRoot Network,oneroot-network,RNT,400000000
871,Financial,LinkEye,linkeye,LET,1000000000
872,Ethereum,Etherparty,etherparty,FUEL,1000000000
873,Gambling,ShowHand,showhand,HAND,403000000000
874,Gambling,Decentral Games,decentral-games,DG,1000000
875,Trading,Lendroid Support Token,lendroid-support-token,LST,1210071487.342
876,Financial,Iconomi,iconomi,ICN,98930339.7729087
877,Ethereum,WHALE,whale,WHALE,10000000
878,Decentralized Exchange,AirSwap,airswap,AST,500000000
879,Healthcare,Medicalchain,medical-chain,MTN,500000000
880,Smart Contracts,Chronologic,chronologic,DAY,1401739.23448688
881,Decentralized Exchange,ZeroSwap,zeroswap,ZEE,100000000
882,Platform,GoHelpFund,gohelpfund,HELP,23000000
883,Financial,Metal,metal,MTL,66588888
884,DeFi,Beefy.Finance,beefy-finance,BIFI,80000
885,Other,Eva Cash,eva-cash,EVC,1000000
886,Entertainment,WeShow Token,weshow-token,WET,1250000000
887,Cryptocurrency,Novacoin,novacoin,NVC,2335756.713897
888,Exchange,OTCBTC Token,otcbtc-token,OTB,199470887.762562
889,Blockchain Network,Couchain,couchain,COU,23000000000
890,Ethereum,Razor Network,razor-network,RAZOR,1000000000
891,Cryptocurrency,Bitcoin SV,bitcoin-sv,BSV,18915795.39423905
892,Ethereum,DreamTeam,dreamteam-token,DTT,55191260
893,Cryptocurrency,W3Coin,w3coin,W3C,99998988889
894,Marketplace,Earth Token,earth-token,EARTH,750000000
895,Advertising,DATx,datx,DATX,10000000000
896,Prediction Market,Stox,stox,STX,53817240.86769172
897,Financial,Neumark,neumark,NEU,64410846.59360903
898,Entertainment,Moviebloc,moviebloc,MBL,30000000000
899,Privacy,MoneroV,monero-v,XMV,13598604.127477
900,Blockchain Network,Decent,decent,DCT,73197775
901,Gambling,Dragon Coins,dragon-coins,DRG,442695970.07088
902,Mining,ZMINE,zmine,ZMN,220381404.9900193
903,Protocol,Graphlinq Protocol,graphlinq-protocol,GLQ,499999972.79754
904,Financial,SIX,six,SIX,999999970
905,Financial,Paycent,paycent,PYN,100000000
906,Energy,Robotina,robotina,ROX,331614076.92142236
907,Privacy,DAPS Token,daps-token,DAPS,60000000000
908,Cryptocurrency,Metronome,metronome,MET,13626367.47294469
909,Healthcare,Humanscape,humanscape,HUM,1084734273.38
910,Verification,Nuggets,nuggets,NUG,9729464161.02413
911,Protocol,Smartshare,smartshare,SSP,10000000000
912,Entertainment,Eristica,eristica,ERT,230502120.2949735
913,DeFi,Non-Fungible Yearn,non-fungible-yearn,NFY,100000
914,Interoperability,Clover Finance,clover,CLV,1000000000
915,Verification,VeriME,verime,VME,400000000
916,Protocol,Glitch,glitch,GLCH,88888888
917,Data,Measurable Data Token,measurable-data-token,MDT,1000000000
918,Media,Pibble,pibble,PIB,30000000000
919,Tokenization,CARAT,carat,CARAT,2000000
920,Financial,Daneel,daneel,DAN,69320719
921,Data,Insights Network,insights-network,INSTAR,288531902.56
922,Advertising,Fractal,fractal,FCL,465000000
923,Entertainment,Theta,theta,THETA,1000000000
924,,CyberMiles,cybermiles,CMT,1000000000
925,Privacy,GIGA,giga,XG,472151842.053
926,Trading,DEXTools,dextools,DEXT,149953255
927,IoT,SDChain,sdchain,SDA,1999999978.51766
928,Cryptocurrency,Wixlar,wixlar,WIX,5330000000
929,Verification,Metadium,metadium,META,2000000000
930,Blockchain Service,ADAMANT Messenger,adamant-messenger,ADM,108002535.9
931,AI,ELA Coin,ela-coin,ELAC,10000000000
932,Gaming,PlayDapp,playdapp,PLA,700000000
933,Blockchain Service,IceChain,icechain,ICHX,1000000000
934,Financial,VegaWallet Token,vegawallet-token,VGW,200000000
935,Cryptocurrency,NAGA,naga,NGC,77910266.157691
936,Mining,HashBX,hashsbx,HBX,1000000000
937,Platform,AMO Coin,amo-coin,AMO,19679012761.81035
938,Blockchain Network,LTO Network,lto-network,LTO,397969832.9859243
939,Financial,Fortuna,fortuna,FOTA,1000000000
940,Financial,Akropolis,akropolis,AKRO,4000000000
941,Marketing,Fluz Fluz,fluz-fluz,FLUZ,204780000
942,DeFi,Reserve,reserve-rights,RSR,100000000000
943,Supply,TE-FOOD,te-food,TFD,1000000000
944,Ethereum,Efinity,efinity,EFI,2000000000
945,Blockchain Service,Ink Protocol,ink-protocol,XNK,500000000
946,DeFi,Frax Share,frax-share,FXS,99899045.23782395
947,Cryptocurrency,Ormeus Coin,ormeus-coin,ORME,200000000
948,Protocol,Atlas Protocol,atlas-protocol,ATP,4000001000
949,Protocol,Hashgard,hashgard,GARD,10000000000
950,Education,Blockchain Certified Data Token,blockchain-certified-data-token,BCDT,40835044.38886192
951,Financial,Darico Ecosystem Coin,darcio-ecosystem-coin,DEC,99006341.50190786
952,Platform,HyperQuant,hyperquant,HQT,100000000
953,Cryptocurrency,ILCoin,ilcoin,ILC,1761217657.452142
954,Cryptocurrency,Tolar,tolar,TOL,760019385.3676834
955,Real Estate,Etheera,etheera,ETA,9919303956.4122
956,Financial,Safe Haven,safe-haven,SHA,8500000000
957,Blockchain Network,Zilliqa,zilliqa,ZIL,15383848598.562176
958,Platform,OnX Finance,onx-finance,ONX,787439.339231
959,Network,Substratum,substratum,SUB,472000000
960,,LinkToken,linktoken,LTK,1500000000
961,Platform,Lition,lition,LIT,130039256.689
962,Financial,BHPCash,bhpcash,BHPC,46915621.12
963,Infrastructure,Unibright,unibright,UBT,150000000
964,Blockchain Network,EdenChain,eden,EDN,1000000000
965,Binance,aXpire,axpire,AXP,346274001.40087
966,Gaming,Big Bang Game Coin,big-bang-game-coin,BBGC,10000000000
967,DeFi,Duck DAO,duck-dao,DUCK,95986126.46717
968,Verification,Blockpass,blockpass,PASS,1000000000
969,Blockchain Service,Newton,newton,NEW,98823661261.46
970,Data,Streamr,streamr-datacoin,DATA,861800041.8100061
971,Protocol,Trinity Protocol,trinity-protocol,TRI,0
972,Blockchain Service,XYO Network,xyo,XYO,13960974963
973,Verification,Radium,radium,RADS,4195412.03757967
974,Gaming,PlayGame Token,playgame-token,PXG,1000000000
975,Jobs,Canya,canyacoin,CAN,95826983.065
976,Real Estate,Max Property Group,max-property-group,MPG,1000000000
977,Blockchain Network,VeriBlock,veriblock,VBK,1079314606.0821092
978,Virtual Reality,Scanet World Coin,scanet-world-coin,SWC,1000000000
979,Cryptocurrency,MetaHash,metahash,MHC,3114184079
980,,DECOIN,decoin,DTEP,78593425.59619509
981,Supply,Serve,serve,SERV,10000000000
982,Decentralized Exchange,Nectar,nectar,NEC,618133330.107871
983,Interoperability,ICON,icon,ICX,800460000
984,Blockchain Service,Merculet,merculet,MVP,10000000000
985,DeFi,SakeToken,sake-token,SAKE,136268757.9038026
986,Ethereum,BitDAO,bitdao,BIT,10000000000
987,Platform,Hyperion,hyperion,HYN,7876642307
988,Cloud Storage,Filecoin,file-coin,FIL,132058151
989,Real Estate,IHT Real Estate Protocol,iht-real-estate-protocol,IHT,996491162
